"V0_0","V1_0","V2_0","V3_0","V4_0","V5_0","V6_0","V7_0","V0_1","V1_1","V2_1","V3_1","V4_1","V5_1","V6_1","V7_1","V0_2","V1_2","V2_2","V3_2","V4_2","V5_2","V6_2","V7_2","V0_3","V1_3","V2_3","V3_3","V4_3","V5_3","V6_3","V7_3","V0_4","V1_4","V2_4","V3_4","V4_4","V5_4","V6_4","V7_4"
"V0_0",0,0,2,0,0,2,2,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0
"V1_0",0,0,0,2,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0
"V2_0",2,0,0,0,2,2,2,2,2,0,2,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0
"V3_0",0,2,0,0,2,2,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,2,0,0,0,2,0,2,0,2
"V4_0",0,2,2,2,0,2,2,2,0,0,2,0,2,0,2,2,2,0,2,0,0,0,0,2,2,0,2,0,2,0,0,0,0,0,2,0,2,0,0,0
"V5_0",2,0,2,2,2,0,2,2,0,0,0,2,0,2,0,2,0,2,0,2,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0
"V6_0",2,2,2,2,2,2,0,0,2,0,2,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
"V7_0",2,2,2,0,2,2,0,0,0,2,0,2,2,2,0,2,0,0,0,2,2,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,2,0,0,2
"V0_1",1,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"V1_1",0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"V2_1",0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"V3_1",0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"V4_1",0,0,2,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"V5_1",0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0
"V6_1",1,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"V7_1",0,0,0,0,1,3,0,1,0,2,0,0,0,2,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
"V0_2",0,0,1,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
